ms,phase,tempC,humPct,pressHpa,gasKOhms,deltaGasKOhms,gasDropPct,deltaHumPct
902977,ambient,25.95,26.43,1002.26,31.81,0.00,0.00,0.00
905346,ambient,25.95,26.41,1002.28,31.98,0.00,0.00,0.00
907715,ambient,25.95,26.42,1002.28,31.93,0.00,0.00,0.00
910084,ambient,25.95,26.40,1002.28,31.81,0.00,0.00,0.00
912453,ambient,25.96,26.39,1002.28,32.02,0.00,0.00,0.00
914822,ambient,25.96,26.38,1002.28,31.95,0.00,0.00,0.00
917191,ambient,25.96,26.38,1002.28,32.12,0.00,0.00,0.00
919560,ambient,25.96,26.38,1002.27,32.05,0.00,0.00,0.00
921929,ambient,25.96,26.38,1002.26,32.07,0.00,0.00,0.00
924298,ambient,25.96,26.37,1002.27,31.86,0.00,0.00,0.00
926667,ambient,25.96,26.38,1002.27,31.71,0.00,0.00,0.00
929036,ambient,25.96,26.38,1002.27,31.57,0.00,0.00,0.00
931405,ambient,25.96,26.39,1002.27,31.50,0.00,0.00,0.00
933774,ambient,25.96,26.39,1002.27,31.32,0.00,0.00,0.00
936143,ambient,25.96,26.38,1002.26,31.14,0.00,0.00,0.00
938512,ambient,25.95,26.38,1002.25,31.27,0.00,0.00,0.00
940881,ambient,25.95,26.40,1002.25,31.25,0.00,0.00,0.00
943250,ambient,25.95,26.40,1002.25,31.46,0.00,0.00,0.00
945619,ambient,25.95,26.39,1002.25,31.46,0.00,0.00,0.00
947988,ambient,25.95,26.39,1002.25,31.32,0.00,0.00,0.00
950357,ambient,25.95,26.40,1002.23,31.34,0.00,0.00,0.00
952726,ambient,25.94,26.39,1002.23,31.23,0.00,0.00,0.00
955095,ambient,25.94,26.40,1002.22,31.18,0.00,0.00,0.00
957464,ambient,25.94,26.41,1002.23,31.14,0.00,0.00,0.00
959833,ambient,25.94,26.42,1002.22,31.11,0.00,0.00,0.00
962202,ambient,25.93,26.41,1002.22,31.14,0.00,0.00,0.00
964571,ambient,25.93,26.43,1002.22,31.09,0.00,0.00,0.00
966940,ambient,25.93,26.42,1002.23,31.18,0.00,0.00,0.00
969309,ambient,25.93,26.43,1002.22,31.23,0.00,0.00,0.00
971678,ambient,25.92,26.42,1002.22,31.25,0.00,0.00,0.00
974047,ambient,25.92,26.42,1002.23,31.34,0.00,0.00,0.00
976416,ambient,25.92,26.45,1002.25,31.60,0.00,0.00,0.00
978785,ambient,25.92,26.44,1002.27,31.64,0.00,0.00,0.00
981154,ambient,25.92,26.45,1002.29,31.67,0.00,0.00,0.00
983523,ambient,25.92,26.44,1002.28,31.78,0.00,0.00,0.00
985892,ambient,25.92,26.44,1002.28,31.88,0.00,0.00,0.00
988261,ambient,25.92,26.45,1002.27,31.93,0.00,0.00,0.00
990630,ambient,25.92,26.45,1002.26,32.02,0.00,0.00,0.00
992999,ambient,25.93,26.46,1002.26,32.31,0.00,0.00,0.00
995368,ambient,25.93,26.45,1002.27,32.49,0.00,0.00,0.00
997737,ambient,25.93,26.45,1002.26,32.36,0.00,0.00,0.00
1000106,ambient,25.93,26.44,1002.25,32.66,0.00,0.00,0.00
1002475,ambient,25.93,26.44,1002.24,32.56,0.00,0.00,0.00
1004844,ambient,25.93,26.46,1002.23,32.39,0.00,0.00,0.00
1007213,ambient,25.93,26.45,1002.22,32.27,0.00,0.00,0.00
1009582,ambient,25.93,26.46,1002.22,32.49,0.00,0.00,0.00
1011951,ambient,25.93,26.46,1002.21,32.22,0.00,0.00,0.00
1014320,ambient,25.92,26.46,1002.21,32.24,0.00,0.00,0.00
1016689,ambient,25.92,26.45,1002.20,32.22,0.00,0.00,0.00
1019058,ambient,25.92,26.45,1002.20,32.02,0.00,0.00,0.00
1021427,ambient,25.92,26.46,1002.20,31.93,0.00,0.00,0.00
1023796,ambient,25.92,26.46,1002.21,31.98,0.00,0.00,0.00
1026165,ambient,25.91,26.47,1002.21,31.81,0.00,0.00,0.00
1028534,ambient,25.91,26.48,1002.22,31.81,0.00,0.00,0.00
1030903,ambient,25.91,26.47,1002.22,31.88,0.00,0.00,0.00
1033272,ambient,25.91,26.48,1002.23,31.86,0.00,0.00,0.00
1035641,ambient,25.91,26.46,1002.23,32.02,0.00,0.00,0.00
1038010,ambient,25.91,26.48,1002.21,31.93,0.00,0.00,0.00
1040379,ambient,25.91,26.48,1002.22,31.74,0.00,0.00,0.00
1042748,ambient,25.91,26.48,1002.22,31.78,0.00,0.00,0.00
1045117,ambient,25.91,26.47,1002.22,31.71,0.00,0.00,0.00
1047486,ambient,25.91,26.47,1002.21,31.62,0.00,0.00,0.00
1049855,ambient,25.91,26.48,1002.20,31.60,0.00,0.00,0.00
1052224,ambient,25.91,26.48,1002.20,31.41,0.00,0.00,0.00
1054593,ambient,25.90,26.47,1002.20,31.39,0.00,0.00,0.00
1056962,ambient,25.90,26.48,1002.20,31.36,0.00,0.00,0.00
1059331,ambient,25.90,26.48,1002.20,31.46,0.00,0.00,0.00
1061700,ambient,25.90,26.49,1002.19,31.48,0.00,0.00,0.00
1064069,ambient,25.90,26.49,1002.18,31.46,0.00,0.00,0.00
1066438,ambient,25.90,26.48,1002.20,31.34,0.00,0.00,0.00
1068807,ambient,25.90,26.48,1002.20,31.23,0.00,0.00,0.00
1071176,ambient,25.90,26.50,1002.20,31.23,0.00,0.00,0.00
1073545,ambient,25.90,26.49,1002.22,31.36,0.00,0.00,0.00
1075914,ambient,25.90,26.50,1002.22,31.50,0.00,0.00,0.00
1078283,ambient,25.90,26.50,1002.23,31.55,0.00,0.00,0.00
1080652,ambient,25.90,26.50,1002.22,31.64,0.00,0.00,0.00
1083021,ambient,25.90,26.51,1002.23,31.81,0.00,0.00,0.00
1085390,ambient,25.90,26.51,1002.22,31.98,0.00,0.00,0.00
1087759,ambient,25.90,26.51,1002.22,31.86,0.00,0.00,0.00
1090128,ambient,25.91,26.51,1002.22,31.83,0.00,0.00,0.00
1092497,ambient,25.91,26.50,1002.22,31.78,0.00,0.00,0.00
1094866,ambient,25.91,26.52,1002.22,31.88,0.00,0.00,0.00
1097235,ambient,25.91,26.52,1002.21,31.69,0.00,0.00,0.00
1099604,ambient,25.91,26.52,1002.21,31.74,0.00,0.00,0.00
1101973,ambient,25.92,26.53,1002.21,31.64,0.00,0.00,0.00
1104342,ambient,25.92,26.52,1002.21,31.53,0.00,0.00,0.00
1106711,ambient,25.92,26.52,1002.21,31.39,0.00,0.00,0.00
1109080,ambient,25.92,26.52,1002.20,31.48,0.00,0.00,0.00
1111449,ambient,25.92,26.52,1002.20,31.39,0.00,0.00,0.00
1113818,ambient,25.92,26.51,1002.19,31.36,0.00,0.00,0.00
1116187,ambient,25.92,26.51,1002.19,31.34,0.00,0.00,0.00
1118556,ambient,25.92,26.51,1002.18,31.39,0.00,0.00,0.00
1120925,ambient,25.92,26.51,1002.19,31.25,0.00,0.00,0.00
1123294,ambient,25.92,26.50,1002.20,31.39,0.00,0.00,0.00
1125663,ambient,25.92,26.52,1002.20,31.55,0.00,0.00,0.00
1128032,ambient,25.92,26.52,1002.22,31.55,0.00,0.00,0.00
1130401,ambient,25.92,26.52,1002.22,31.53,0.00,0.00,0.00
1132770,ambient,25.92,26.52,1002.22,31.60,0.00,0.00,0.00
1135139,ambient,25.92,26.53,1002.23,31.64,0.00,0.00,0.00
1137508,ambient,25.92,26.53,1002.23,31.83,0.00,0.00,0.00
1139877,ambient,25.92,26.54,1002.23,31.98,0.00,0.00,0.00
1142246,ambient,25.92,26.54,1002.22,32.12,0.00,0.00,0.00
1144615,ambient,25.92,26.54,1002.21,32.31,0.00,0.00,0.00
1146984,ambient,25.92,26.55,1002.21,32.31,0.00,0.00,0.00
1149353,ambient,25.92,26.53,1002.20,32.36,0.00,0.00,0.00
1151722,ambient,25.92,26.53,1002.20,32.31,0.00,0.00,0.00
1154091,ambient,25.93,26.51,1002.19,32.46,0.00,0.00,0.00
1156460,ambient,25.93,26.53,1002.19,32.39,0.00,0.00,0.00
1158829,ambient,25.93,26.54,1002.18,32.24,0.00,0.00,0.00
1161198,ambient,25.93,26.54,1002.19,32.22,0.00,0.00,0.00
1163567,ambient,25.94,26.55,1002.19,32.31,0.00,0.00,0.00
1165936,ambient,25.94,26.55,1002.19,32.54,0.00,0.00,0.00
1168305,ambient,25.94,26.53,1002.19,32.44,0.00,0.00,0.00
1170674,ambient,25.95,26.52,1002.19,32.49,0.00,0.00,0.00
1173043,ambient,25.95,26.50,1002.17,32.61,0.00,0.00,0.00
1175412,ambient,25.95,26.49,1002.17,32.51,0.00,0.00,0.00
1177781,ambient,25.95,26.48,1002.17,32.51,0.00,0.00,0.00
1180150,ambient,25.96,26.46,1002.18,32.36,0.00,0.00,0.00
1182519,ambient,25.96,26.44,1002.18,32.41,0.00,0.00,0.00
1184888,ambient,25.96,26.45,1002.19,32.76,0.00,0.00,0.00
1187257,ambient,25.96,26.45,1002.19,32.76,0.00,0.00,0.00
1189626,ambient,25.96,26.43,1002.19,32.66,0.00,0.00,0.00
1191995,ambient,25.97,26.44,1002.20,32.59,0.00,0.00,0.00
1194364,ambient,25.97,26.44,1002.20,32.44,0.00,0.00,0.00
1196733,ambient,25.97,26.44,1002.20,32.56,0.00,0.00,0.00
1199102,ambient,25.96,26.44,1002.21,32.44,0.00,0.00,0.00
1201471,ambient,25.97,26.45,1002.22,32.14,0.00,0.00,0.00
1203840,ambient,25.97,26.43,1002.21,32.27,0.00,0.00,0.00
1206209,ambient,25.97,26.43,1002.21,32.36,0.00,0.00,0.00
1208578,ambient,25.97,26.43,1002.22,32.59,0.00,0.00,0.00
1210947,ambient,25.97,26.43,1002.22,32.76,0.00,0.00,0.00
1213316,ambient,25.97,26.42,1002.23,32.79,0.00,0.00,0.00
1215685,ambient,25.97,26.42,1002.22,33.01,0.00,0.00,0.00
1218054,ambient,25.97,26.41,1002.22,32.94,0.00,0.00,0.00
1220423,ambient,25.98,26.41,1002.22,32.94,0.00,0.00,0.00
1222792,ambient,25.98,26.40,1002.22,33.09,0.00,0.00,0.00
1225161,ambient,25.98,26.40,1002.21,32.89,0.00,0.00,0.00
1227530,ambient,25.98,26.38,1002.22,32.79,0.00,0.00,0.00
1229899,ambient,25.98,26.39,1002.22,32.81,0.00,0.00,0.00
1232268,ambient,25.99,26.38,1002.22,32.76,0.00,0.00,0.00
1234637,ambient,25.99,26.37,1002.22,32.71,0.00,0.00,0.00
1237006,ambient,25.99,26.38,1002.21,32.61,0.00,0.00,0.00
1239375,ambient,25.99,26.37,1002.19,32.89,0.00,0.00,0.00
1241744,ambient,25.99,26.38,1002.18,32.96,0.00,0.00,0.00
1244113,ambient,25.99,26.38,1002.17,33.01,0.00,0.00,0.00
1246482,ambient,25.99,26.36,1002.17,32.86,0.00,0.00,0.00
1248851,ambient,25.99,26.37,1002.17,32.74,0.00,0.00,0.00
1251220,ambient,25.99,26.36,1002.17,32.59,0.00,0.00,0.00
1253589,ambient,25.99,26.37,1002.18,32.36,0.00,0.00,0.00
1255958,ambient,25.99,26.38,1002.19,32.24,0.00,0.00,0.00
1258327,ambient,25.99,26.38,1002.19,32.36,0.00,0.00,0.00
1260696,ambient,25.99,26.37,1002.19,32.44,0.00,0.00,0.00
1263065,ambient,25.99,26.38,1002.19,32.54,0.00,0.00,0.00
1265434,ambient,25.99,26.38,1002.20,32.54,0.00,0.00,0.00
1267803,ambient,25.99,26.37,1002.21,32.44,0.00,0.00,0.00
1270172,ambient,26.00,26.38,1002.20,32.59,0.00,0.00,0.00
1272541,ambient,26.00,26.40,1002.20,32.69,0.00,0.00,0.00
1274910,ambient,26.00,26.42,1002.21,32.76,0.00,0.00,0.00
1277279,ambient,26.00,26.44,1002.21,32.91,0.00,0.00,0.00
1279648,ambient,26.00,26.44,1002.22,33.01,0.00,0.00,0.00
1282017,ambient,26.00,26.42,1002.22,33.17,0.00,0.00,0.00
1284386,ambient,26.00,26.41,1002.22,33.27,0.00,0.00,0.00
1286755,ambient,26.01,26.39,1002.22,33.30,0.00,0.00,0.00
1289124,ambient,26.01,26.38,1002.24,33.38,0.00,0.00,0.00
1291493,ambient,26.01,26.37,1002.24,33.32,0.00,0.00,0.00
1293862,ambient,26.01,26.38,1002.24,33.32,0.00,0.00,0.00
1296231,ambient,26.01,26.36,1002.23,33.46,0.00,0.00,0.00
1298600,ambient,26.01,26.38,1002.22,33.51,0.00,0.00,0.00
1300969,ambient,26.01,26.36,1002.22,33.32,0.00,0.00,0.00
1303338,ambient,26.01,26.38,1002.22,33.32,0.00,0.00,0.00
1305707,ambient,26.01,26.37,1002.22,33.19,0.00,0.00,0.00
1308076,ambient,26.01,26.37,1002.22,33.01,0.00,0.00,0.00
1310445,ambient,26.01,26.37,1002.22,32.81,0.00,0.00,0.00
1312814,ambient,26.01,26.38,1002.22,32.71,0.00,0.00,0.00
1315183,ambient,26.01,26.36,1002.22,32.94,0.00,0.00,0.00
1317552,ambient,26.01,26.38,1002.22,32.86,0.00,0.00,0.00
1319921,ambient,26.01,26.37,1002.22,33.12,0.00,0.00,0.00
1322290,ambient,26.01,26.38,1002.21,33.14,0.00,0.00,0.00
1324659,ambient,26.01,26.36,1002.22,33.17,0.00,0.00,0.00
1327028,ambient,26.01,26.37,1002.23,33.14,0.00,0.00,0.00
1329397,ambient,26.01,26.37,1002.23,32.86,0.00,0.00,0.00
1331766,ambient,26.01,26.39,1002.23,32.66,0.00,0.00,0.00
1334135,ambient,26.01,26.46,1002.23,32.69,0.00,0.00,0.00
1336504,ambient,26.01,26.54,1002.23,32.59,0.00,0.00,0.00
1338873,ambient,26.01,26.62,1002.22,32.46,0.00,0.00,0.00
1341242,ambient,26.01,26.65,1002.22,32.36,0.00,0.00,0.00
1343611,ambient,26.01,26.64,1002.23,32.46,0.00,0.00,0.00
1345980,ambient,26.02,26.65,1002.23,32.46,0.00,0.00,0.00
1348349,ambient,26.02,26.62,1002.23,32.29,0.00,0.00,0.00
1350718,ambient,26.02,26.60,1002.24,32.66,0.00,0.00,0.00
1353087,ambient,26.02,26.59,1002.24,32.56,0.00,0.00,0.00
1355456,ambient,26.02,26.58,1002.24,32.39,0.00,0.00,0.00
1357825,ambient,26.02,26.58,1002.24,32.46,0.00,0.00,0.00
1360194,ambient,26.03,26.59,1002.23,32.44,0.00,0.00,0.00
1362563,ambient,26.03,26.60,1002.22,32.24,0.00,0.00,0.00
1364932,ambient,26.03,26.59,1002.22,32.66,0.00,0.00,0.00
1414681,ambient,26.02,26.51,1002.26,32.29,0.09,-0.28,0.02
1417050,ambient,26.02,26.52,1002.27,32.44,0.24,-0.74,0.03
1419419,ambient,26.02,26.54,1002.26,32.61,0.41,-1.28,0.05
1421788,ambient,26.02,26.54,1002.25,32.66,0.46,-1.43,0.05
1424157,ambient,26.02,26.53,1002.24,32.71,0.51,-1.59,0.04
1426526,ambient,26.02,26.54,1002.23,32.79,0.59,-1.82,0.05
1428895,ambient,26.01,26.54,1002.24,32.84,0.64,-1.98,0.05
1431264,ambient,26.01,26.53,1002.25,32.79,0.59,-1.82,0.04
1433633,ambient,26.01,26.53,1002.26,32.64,0.44,-1.36,0.04
1436002,ambient,26.01,26.51,1002.26,32.76,0.56,-1.74,0.02
1438371,ambient,26.01,26.51,1002.27,32.51,0.31,-0.97,0.02
1440740,ambient,26.01,26.52,1002.26,32.36,0.16,-0.51,0.03
1443109,ambient,26.01,26.52,1002.27,32.31,0.12,-0.36,0.03
1445478,ambient,26.01,26.53,1002.26,32.27,0.07,-0.21,0.04
1447847,ambient,26.00,26.52,1002.26,32.56,0.36,-1.12,0.02
1450216,ambient,26.00,26.51,1002.26,32.54,0.34,-1.05,0.02
1452585,ambient,26.00,26.52,1002.25,32.51,0.31,-0.97,0.02
1454954,ambient,26.00,26.52,1002.25,32.44,0.24,-0.74,0.03
1457323,ambient,26.00,26.52,1002.25,32.27,0.07,-0.21,0.02
1459692,ambient,26.00,26.57,1002.24,32.36,0.16,-0.51,0.08
1462061,ambient,25.99,26.76,1002.24,32.17,-0.03,0.10,0.27
1464430,ambient,25.98,27.26,1002.23,31.36,-0.84,2.59,0.77
1466799,fresh_oranges,25.97,27.76,1002.25,30.98,-1.22,3.80,1.26
1469168,fresh_oranges,25.95,27.95,1002.26,30.91,-1.29,4.00,1.45
1471537,fresh_oranges,25.93,27.97,1002.27,31.14,-1.06,3.31,1.48
1473906,fresh_oranges,25.91,27.89,1002.27,31.05,-1.15,3.58,1.40
1476275,fresh_oranges,25.88,28.00,1002.27,30.73,-1.47,4.56,1.51
1478644,fresh_oranges,25.86,28.18,1002.28,30.64,-1.56,4.83,1.69
1481013,fresh_oranges,25.83,28.23,1002.28,30.51,-1.69,5.24,1.74
1483382,fresh_oranges,25.80,28.30,1002.28,30.34,-1.86,5.78,1.80
1485751,fresh_oranges,25.77,28.39,1002.29,30.25,-1.95,6.05,1.90
1488120,fresh_oranges,25.73,28.48,1002.29,30.21,-1.99,6.18,1.99
1490489,fresh_oranges,25.70,28.51,1002.28,30.30,-1.90,5.91,2.02
1492858,fresh_oranges,25.66,28.54,1002.28,30.30,-1.90,5.91,2.04
1495227,fresh_oranges,25.63,28.62,1002.27,30.12,-2.08,6.45,2.13
1497596,fresh_oranges,25.60,28.75,1002.27,30.04,-2.16,6.71,2.25
1499965,fresh_oranges,25.56,28.84,1002.27,30.19,-2.01,6.25,2.35
1502334,fresh_oranges,25.53,28.74,1002.27,30.51,-1.69,5.24,2.25
1504703,fresh_oranges,25.49,28.59,1002.26,30.98,-1.22,3.80,2.09
1507072,fresh_oranges,25.46,28.45,1002.26,31.16,-1.04,3.23,1.95
1509441,fresh_oranges,25.42,28.35,1002.25,31.32,-0.88,2.74,1.86
1511810,fresh_oranges,25.39,28.32,1002.24,31.36,-0.84,2.59,1.82
1514179,fresh_oranges,25.36,28.36,1002.25,31.53,-0.67,2.09,1.87
1516548,fresh_oranges,25.32,28.40,1002.25,31.39,-0.81,2.52,1.91
1518917,fresh_oranges,25.30,28.50,1002.25,31.41,-0.79,2.45,2.01
1521286,fresh_oranges,25.27,28.49,1002.26,31.67,-0.53,1.65,2.00
1523655,fresh_oranges,25.24,28.45,1002.25,31.74,-0.46,1.43,1.96
1526024,fresh_oranges,25.21,28.42,1002.27,32.12,-0.08,0.25,1.93
1528393,fresh_oranges,25.19,28.36,1002.27,32.24,0.04,-0.13,1.87
1530762,fresh_oranges,25.16,28.49,1002.26,31.71,-0.49,1.51,1.99
1533131,fresh_oranges,25.14,28.67,1002.27,31.53,-0.67,2.09,2.17
1535500,fresh_oranges,25.11,28.81,1002.26,31.41,-0.79,2.45,2.32
1537869,fresh_oranges,25.09,28.87,1002.26,31.36,-0.84,2.59,2.38
1540238,fresh_oranges,25.06,28.99,1002.26,31.23,-0.97,3.02,2.50
1542607,fresh_oranges,25.04,29.11,1002.25,31.20,-1.00,3.09,2.62
1544976,fresh_oranges,25.02,29.07,1002.25,31.53,-0.67,2.09,2.58
1547345,fresh_oranges,25.00,29.03,1002.25,31.27,-0.93,2.88,2.54
1549714,fresh_oranges,24.98,29.09,1002.25,31.23,-0.97,3.02,2.60
1552083,fresh_oranges,24.96,29.19,1002.25,31.07,-1.13,3.52,2.69
1554452,fresh_oranges,24.94,29.31,1002.26,30.86,-1.33,4.14,2.82
1556821,fresh_oranges,24.92,29.50,1002.25,30.64,-1.56,4.83,3.01
1559190,fresh_oranges,24.91,29.65,1002.25,30.51,-1.69,5.24,3.16
1561559,fresh_oranges,24.89,29.79,1002.26,30.30,-1.90,5.91,3.30
1563928,fresh_oranges,24.87,29.92,1002.27,30.25,-1.95,6.05,3.43
1566297,fresh_oranges,24.85,29.90,1002.27,30.27,-1.93,5.98,3.41
1568666,fresh_oranges,24.83,29.91,1002.27,30.27,-1.93,5.98,3.42
1571035,fresh_oranges,24.81,29.92,1002.28,30.27,-1.93,5.98,3.43
1573404,fresh_oranges,24.79,29.95,1002.27,30.19,-2.01,6.25,3.46
1575773,fresh_oranges,24.78,30.02,1002.27,30.19,-2.01,6.25,3.52
1578142,fresh_oranges,24.76,30.08,1002.28,30.08,-2.12,6.58,3.59
1580511,fresh_oranges,24.74,30.17,1002.27,30.06,-2.14,6.64,3.68
1582880,fresh_oranges,24.72,30.20,1002.26,29.93,-2.27,7.04,3.71
1585249,fresh_oranges,24.71,30.18,1002.26,30.04,-2.16,6.71,3.69
1587618,fresh_oranges,24.69,30.11,1002.25,30.23,-1.97,6.11,3.61
1589987,fresh_oranges,24.68,30.07,1002.25,30.27,-1.93,5.98,3.58
1592356,fresh_oranges,24.66,30.14,1002.25,30.08,-2.12,6.58,3.64
1594725,fresh_oranges,24.64,30.21,1002.25,30.02,-2.18,6.77,3.72
1597094,fresh_oranges,24.63,30.27,1002.24,30.15,-2.05,6.38,3.78
1599463,fresh_oranges,24.61,30.32,1002.24,29.95,-2.24,6.97,3.83
1601832,fresh_oranges,24.59,30.39,1002.23,29.91,-2.29,7.10,3.90
1604201,fresh_oranges,24.58,30.44,1002.24,29.91,-2.29,7.10,3.95
1606570,fresh_oranges,24.57,30.45,1002.25,30.17,-2.03,6.31,3.96
1608939,fresh_oranges,24.55,30.33,1002.26,30.49,-1.71,5.31,3.84
1611308,fresh_oranges,24.54,30.20,1002.24,30.56,-1.64,5.10,3.70
1613677,fresh_oranges,24.53,30.12,1002.25,30.78,-1.42,4.42,3.62
1616046,fresh_oranges,24.51,30.06,1002.25,30.78,-1.42,4.42,3.57
1618415,fresh_oranges,24.50,30.08,1002.24,30.71,-1.49,4.63,3.59
1620784,fresh_oranges,24.49,30.11,1002.24,30.60,-1.60,4.97,3.62
1623153,fresh_oranges,24.47,30.21,1002.24,30.56,-1.64,5.10,3.72
1625522,fresh_oranges,24.46,30.35,1002.24,30.32,-1.88,5.85,3.86
1627891,fresh_oranges,24.45,30.52,1002.24,30.21,-1.99,6.18,4.03
1630260,fresh_oranges,24.43,30.68,1002.24,29.93,-2.27,7.04,4.19
1632629,fresh_oranges,24.42,30.80,1002.24,29.95,-2.24,6.97,4.31
1634998,fresh_oranges,24.41,30.87,1002.24,29.89,-2.31,7.17,4.38
1637367,fresh_oranges,24.40,30.92,1002.24,29.93,-2.27,7.04,4.42
1639736,fresh_oranges,24.39,30.93,1002.25,30.00,-2.20,6.84,4.43
1642105,fresh_oranges,24.38,30.95,1002.24,29.95,-2.24,6.97,4.46
1644474,fresh_oranges,24.37,30.98,1002.24,29.87,-2.33,7.23,4.49
1646843,fresh_oranges,24.36,31.05,1002.23,29.87,-2.33,7.23,4.56
1649212,fresh_oranges,24.35,31.09,1002.23,29.83,-2.37,7.36,4.60
1651581,fresh_oranges,24.34,31.10,1002.23,29.83,-2.37,7.36,4.61
1653950,fresh_oranges,24.33,31.14,1002.23,29.66,-2.54,7.88,4.65
1656319,fresh_oranges,24.32,31.19,1002.23,29.66,-2.54,7.88,4.70
1658688,fresh_oranges,24.32,31.25,1002.23,29.62,-2.58,8.00,4.76
1661057,fresh_oranges,24.31,31.30,1002.23,29.58,-2.62,8.13,4.81
1663426,fresh_oranges,24.29,31.30,1002.23,29.64,-2.56,7.94,4.81
1665795,fresh_oranges,24.28,31.28,1002.23,29.70,-2.49,7.75,4.79
1668164,fresh_oranges,24.27,31.24,1002.23,29.73,-2.47,7.68,4.75
1670533,fresh_oranges,24.26,31.24,1002.23,29.66,-2.54,7.88,4.74
1672902,fresh_oranges,24.25,31.17,1002.24,29.87,-2.33,7.23,4.67
1675271,fresh_oranges,24.24,31.13,1002.24,29.89,-2.31,7.17,4.64
1677640,fresh_oranges,24.24,31.14,1002.25,30.00,-2.20,6.84,4.64
1680009,fresh_oranges,24.23,31.09,1002.25,30.08,-2.12,6.58,4.59
1682378,fresh_oranges,24.22,31.12,1002.25,29.89,-2.31,7.17,4.63
1684747,fresh_oranges,24.21,31.25,1002.26,29.73,-2.47,7.68,4.76
1687116,fresh_oranges,24.20,31.37,1002.27,29.68,-2.52,7.81,4.88
1689485,fresh_oranges,24.20,31.46,1002.26,29.62,-2.58,8.00,4.97
1691854,fresh_oranges,24.19,31.55,1002.26,29.42,-2.78,8.64,5.05
1694223,fresh_oranges,24.18,31.62,1002.27,29.36,-2.84,8.83,5.13
1696592,fresh_oranges,24.18,31.71,1002.27,29.24,-2.96,9.20,5.22
1698961,fresh_oranges,24.17,31.82,1002.26,29.22,-2.98,9.26,5.33
1701330,fresh_oranges,24.16,31.91,1002.25,29.28,-2.92,9.08,5.42
1703699,fresh_oranges,24.16,31.97,1002.25,29.10,-3.10,9.63,5.48
1706068,fresh_oranges,24.15,32.00,1002.25,29.12,-3.08,9.57,5.50
1708437,fresh_oranges,24.15,31.95,1002.25,29.42,-2.78,8.64,5.45
1710806,fresh_oranges,24.14,31.79,1002.26,29.52,-2.68,8.32,5.30
1713175,fresh_oranges,24.13,31.75,1002.25,29.50,-2.70,8.39,5.26
1715544,fresh_oranges,24.13,31.71,1002.25,29.60,-2.60,8.07,5.22
1717913,fresh_oranges,24.12,31.57,1002.25,30.10,-2.10,6.51,5.08
1720282,fresh_oranges,24.12,31.29,1002.26,30.86,-1.33,4.14,4.80
1722651,fresh_oranges,24.12,30.97,1002.26,31.14,-1.06,3.31,4.48
1725020,fresh_oranges,24.12,30.72,1002.26,31.46,-0.74,2.31,4.23
1727389,fresh_oranges,24.11,30.58,1002.27,31.57,-0.63,1.95,4.09
1729758,fresh_oranges,24.11,30.52,1002.28,31.53,-0.67,2.09,4.03
1732127,fresh_oranges,24.11,30.53,1002.27,31.50,-0.70,2.16,4.04
1734496,fresh_oranges,24.10,30.60,1002.28,31.32,-0.88,2.74,4.11
1736865,fresh_oranges,24.10,30.66,1002.27,31.32,-0.88,2.74,4.17
1739234,fresh_oranges,24.10,30.67,1002.28,31.41,-0.79,2.45,4.18
1741603,fresh_oranges,24.10,30.68,1002.28,31.41,-0.79,2.45,4.19
1743972,fresh_oranges,24.10,30.70,1002.28,31.34,-0.86,2.67,4.21
1746341,fresh_oranges,24.10,30.73,1002.28,31.34,-0.86,2.67,4.24
1748710,fresh_oranges,24.09,30.74,1002.27,31.32,-0.88,2.74,4.25
1751079,fresh_oranges,24.09,30.77,1002.27,31.18,-1.02,3.16,4.27
1753448,fresh_oranges,24.09,30.85,1002.27,31.09,-1.11,3.45,4.36
1755817,fresh_oranges,24.09,30.93,1002.26,30.95,-1.24,3.86,4.44
1758186,fresh_oranges,24.08,31.03,1002.26,30.95,-1.24,3.86,4.53
1760555,fresh_oranges,24.08,31.11,1002.26,30.91,-1.29,4.00,4.61
1762924,fresh_oranges,24.08,31.16,1002.26,30.84,-1.36,4.21,4.67
1765293,fresh_oranges,24.08,31.16,1002.27,30.91,-1.29,4.00,4.66
1767662,fresh_oranges,24.07,31.16,1002.27,30.95,-1.24,3.86,4.67
1770031,fresh_oranges,24.07,31.17,1002.28,30.78,-1.42,4.42,4.68
1772400,fresh_oranges,24.06,31.24,1002.27,30.73,-1.47,4.56,4.74
1774769,fresh_oranges,24.06,31.33,1002.28,30.67,-1.53,4.76,4.84
1777138,fresh_oranges,24.06,31.43,1002.28,30.45,-1.75,5.44,4.94
1779507,fresh_oranges,24.06,31.56,1002.28,30.15,-2.05,6.38,5.07
1781876,fresh_oranges,24.05,31.65,1002.28,30.30,-1.90,5.91,5.16
1784245,fresh_oranges,24.04,31.75,1002.27,30.15,-2.05,6.38,5.26
1786614,fresh_oranges,24.04,31.78,1002.27,30.25,-1.95,6.05,5.29
1788983,fresh_oranges,24.04,31.72,1002.27,30.30,-1.90,5.91,5.23
1791352,fresh_oranges,24.03,31.67,1002.27,30.36,-1.84,5.71,5.18
1793721,fresh_oranges,24.03,31.65,1002.27,30.21,-1.99,6.18,5.15
1796090,fresh_oranges,24.02,31.66,1002.26,30.30,-1.90,5.91,5.16
